Appareil suivi,Consommation annuelle  AN1,Consommation annuelle AN2,Total des deux années,Type
Téléviseurs,62.0,78.0,140.0,PRINCIPAL
Téléviseurs,151.8,180.8,332.6,PRINCIPAL
Téléviseurs,33.2,42.9,76.1,PRINCIPAL
Téléviseurs,334.7,346.0,680.7,PRINCIPAL
Téléviseurs,63.7,55.9,119.6,PRINCIPAL
Téléviseurs,634.2,307.5,941.7,PRINCIPAL
Téléviseurs,112.0,104.0,216.0,PRINCIPAL
Téléviseurs,86.0,102.3,188.3,PRINCIPAL
Téléviseurs,139.2,102.7,241.9,PRINCIPAL
Téléviseurs,295.9,346.8,642.7,PRINCIPAL
Téléviseurs,412.0,409.8,821.8,PRINCIPAL
Téléviseurs,118.5,112.4,230.9,PRINCIPAL
Téléviseurs,76.1,124.1,200.2,PRINCIPAL
Téléviseurs,184.2,235.5,419.7,PRINCIPAL
Téléviseurs,131.0,135.5,266.5,PRINCIPAL
Téléviseurs,3.2,5.4,8.6,PRINCIPAL
Téléviseurs,201.5,250.1,451.6,PRINCIPAL
Téléviseurs,85.4,78.0,163.4,PRINCIPAL
Téléviseurs,388.1,398.5,786.6,PRINCIPAL
Téléviseurs,258.0,195.7,453.7,PRINCIPAL
Téléviseurs,115.4,118.1,233.5,PRINCIPAL
Téléviseurs,26.2,30.6,56.8,PRINCIPAL
Téléviseurs,20.1,26.2,46.3,PRINCIPAL
Téléviseurs,124.8,103.8,228.6,PRINCIPAL
Téléviseurs,24.9,30.3,55.2,PRINCIPAL
Téléviseurs,104.5,150.0,254.5,PRINCIPAL
Téléviseurs,47.2,39.9,87.1,PRINCIPAL
Téléviseurs,50.8,44.5,95.3,PRINCIPAL
Téléviseurs,208.6,195.2,403.8,PRINCIPAL
Téléviseurs,130.0,124.0,254.0,PRINCIPAL
Téléviseurs,132.6,173.7,306.3,PRINCIPAL
Téléviseurs,354.9,434.3,789.2,PRINCIPAL
Téléviseurs,553.7,364.3,918.0,PRINCIPAL
Téléviseurs,37.6,33.6,71.2,SECONDAIRE
Téléviseurs,13.9,10.5,24.4,SECONDAIRE
Téléviseurs,49.0,34.2,83.2,SECONDAIRE
Téléviseurs,22.5,26.6,49.1,SECONDAIRE
Téléviseurs,132.7,75.4,208.1,SECONDAIRE
Téléviseurs,5.1,5.2,10.3,SECONDAIRE
Téléviseurs,33.6,25.5,59.1,SECONDAIRE
Téléviseurs,153.3,133.4,286.7,SECONDAIRE
Téléviseurs,24.6,23.2,47.8,SECONDAIRE
Téléviseurs,0.0,40.0,40.0,SECONDAIRE
Téléviseurs,230.5,80.5,311.0,SECONDAIRE
Téléviseurs,10.4,9.0,19.4,SECONDAIRE
Téléviseurs,3.5,4.7,8.2,SECONDAIRE
Téléviseurs,380.6,448.4,829.0,SECONDAIRE
Téléviseurs,47.1,32.4,79.5,SECONDAIRE
Téléviseurs,193.6,117.5,311.1,SECONDAIRE
Téléviseurs,62.0,53.9,115.9,SECONDAIRE
Téléviseurs,48.6,43.7,92.3,SECONDAIRE
Téléviseurs,73.6,28.6,102.2,SECONDAIRE
Téléviseurs,34.8,42.7,77.5,SECONDAIRE
Téléviseurs,11.3,21.8,33.1,SECONDAIRE
